x,y,faa,height,msk,inv_msk,inv_pad,boug_mean,boug_std,te_mean
-1597500.0,-703500.0,13.426661251120395,1200,False,0.0,True,24.858212671542645,2.1316282072803006e-14,-11.43155142042225
-1595500.0,-703500.0,17.633585149128308,1200,False,0.0,True,17.89515005071866,2.1316282072803006e-14,-0.26156490159035073
-1593500.0,-703500.0,20.908302244690237,1200,False,0.0,True,13.669522447025447,2.3092638912203256e-14,7.23877979766479
-1591500.0,-703500.0,22.584675145450998,1200,False,0.0,True,11.194252570427228,8.881784197001252e-15,11.39042257502377
-1589500.0,-703500.0,23.2122159691487,1200,False,0.0,False,8.72515757943814,8.881784197001252e-15,14.487058389710562
-1587500.0,-703500.0,23.16233130718401,1200,False,0.0,False,5.879759566666772,7.993605777301127e-15,17.28257174051724
-1579500.0,-703500.0,21.921495221982482,1200,False,0.0,True,2.8525624646338765,4.440892098500626e-16,19.068932757348605
-1577500.0,-703500.0,20.164429905502786,1200,False,0.0,True,4.285886052020199,6.217248937900877e-15,15.878543853482586
-1575500.0,-703500.0,17.27196253425975,1200,False,0.0,True,4.885815801451872,3.552713678800501e-15,12.386146732807877
-1573500.0,-703500.0,14.09138925504843,1200,False,0.0,True,4.094401743219906,1.7763568394002505e-15,9.996987511828525
-1569500.0,-703500.0,10.296892393438402,1200,False,0.0,False,4.391771073807035,3.552713678800501e-15,5.905121319631367
-1567500.0,-703500.0,10.718605557601164,1200,False,0.0,False,6.139845236413871,8.881784197001252e-15,4.578760321187293
-1565500.0,-703500.0,11.805761134833597,1200,False,0.0,False,5.722855365831565,2.6645352591003757e-15,6.082905769002032
-1555500.0,-703500.0,21.345217754337288,1200,False,0.0,False,3.972975813852945,7.549516567451064e-15,17.372241940484344
-1553500.0,-703500.0,22.72513694354301,1200,False,0.0,False,4.598012165851924,5.329070518200751e-15,18.127124777691087
-1543500.0,-703500.0,24.607753329567917,1200,False,0.0,False,10.656655809201002,2.1316282072803006e-14,13.951097520366915
-1541500.0,-703500.0,24.73822040701302,1200,False,0.0,False,10.92105875610413,1.7763568394002505e-15,13.81716165090889
-1539500.0,-703500.0,23.431965997997068,1200,False,0.0,False,8.730189889891083,1.0658141036401503e-14,14.701776108105985
-1531500.0,-703500.0,20.98067478364356,1200,False,0.0,False,20.43005205759874,3.552713678800501e-14,0.5506227260448213
-1529500.0,-703500.0,20.205456811652414,1200,False,0.0,False,21.220954946159672,3.907985046680551e-14,-1.0154981345072578
-1521500.0,-703500.0,13.79671171537715,1200,False,0.0,False,27.339831142365416,2.4868995751603507e-14,-13.543119426988266
-1519500.0,-703500.0,11.236722269181211,1200,False,0.0,False,26.853647192470827,2.4868995751603507e-14,-15.616924923289616
-1517500.0,-703500.0,9.039538345744832,1200,False,0.0,False,24.99517928999968,2.4868995751603507e-14,-15.955640944254847
-1515500.0,-703500.0,7.751528666588787,1200,False,0.0,False,21.395089306643055,1.7763568394002505e-14,-13.643560640054268
-1507500.0,-703500.0,5.83504790345109,1200,False,0.0,False,11.149123428238534,1.9539925233402755e-14,-5.314075524787444
-1505500.0,-703500.0,6.134231586319813,1200,False,0.0,False,9.113095936956226,1.4210854715202004e-14,-2.978864350636413
-1503500.0,-703500.0,5.879145038793008,1200,False,0.0,False,3.2994242713422572,8.881784197001252e-16,2.579720767450751
-1501500.0,-703500.0,4.470941572955417,1200,False,0.0,False,-2.377999581409661,3.552713678800501e-15,6.848941154365078
-1495500.0,-703500.0,2.9769816983438693,1200,False,0.0,False,-4.18327874840172,3.552713678800501e-15,7.160260446745589
-1493500.0,-703500.0,3.479205409345947,1200,False,0.0,False,-2.8350859218073197,0.0,6.3142913311532665
-1487500.0,-703500.0,5.400066237753115,1200,False,0.0,False,6.248894655900767,4.440892098500626e-15,-0.8488284181476526
-1485500.0,-703500.0,5.467757241157861,1200,False,0.0,False,10.990894162139513,7.105427357601002e-15,-5.523136920981652
-1483500.0,-703500.0,3.5450698051590477,1200,False,0.0,False,13.41661164110217,5.329070518200751e-15,-9.871541835943123
-1477500.0,-703500.0,-2.535375720879319,1200,False,0.0,False,2.7011614917546685,1.3322676295501878e-15,-5.236537212633987
-1475500.0,-703500.0,-2.857382923582145,1200,False,0.0,False,-0.1635071900094012,1.942890293094024e-16,-2.6938757335727437
-1599500.0,-701500.0,10.649861139325564,1200,False,0.0,True,25.37233163279675,1.4210854715202004e-14,-14.722470493471187
-1597500.0,-701500.0,15.656103295541193,1200,False,0.0,True,20.81140020737025,3.552713678800501e-14,-5.155296911829058
-1595500.0,-701500.0,21.67743228071933,1200,False,0.0,True,19.845292966398063,4.618527782440651e-14,1.8321393143212674
-1593500.0,-701500.0,26.224718089226986,1200,False,0.0,True,20.066972409236772,1.0658141036401503e-14,6.157745679990214
-1591500.0,-701500.0,28.035569550512832,1200,False,0.0,True,19.21091275482063,1.7763568394002505e-14,8.824656795692203
-1589500.0,-701500.0,28.717066503261066,1200,False,0.0,True,17.5066919635169,3.907985046680551e-14,11.210374539744166
-1587500.0,-701500.0,28.168036654032306,1200,False,0.0,False,14.734607871889297,3.552713678800501e-15,13.43342878214301
-1585500.0,-701500.0,27.97190238538692,1200,False,0.0,True,12.64008250109887,8.881784197001252e-15,15.331819884288048
-1583500.0,-701500.0,28.172522066013403,1200,False,0.0,True,11.823490875012544,1.9539925233402755e-14,16.34903119100086
-1581500.0,-701500.0,27.953531488454487,1200,False,0.0,True,12.3221721582672,1.9539925233402755e-14,15.631359330187287
