,h,r,c0,s
exp,80761.5222796575,0.773404530008548,0.0,
gauss,52310.75304927656,0.7356875923052791,0.0,
sph,62294.64383045472,0.7476512230633071,0.0,
matern,66891.29823730711,0.773404530008548,0.9947681432047718,0.0
