x,exp,gauss,sph,matern
27272.727272727272,0.4916466335071582,0.4836395957379893,0.456909789718932,0.48129593352164624
28282.828282828283,0.5020036763213417,0.5032677133384886,0.47144508158351195,0.4948524411025624
29292.92929292929,0.5119813910237705,0.5220101599007114,0.48571994149102,0.5078712667085438
30303.0303030303,0.5215936705584971,0.5398326646411107,0.4997250683001323,0.5203646054887455
31313.13131313131,0.5308538990385951,0.5567114698743623,0.5134511608695248,0.5323455208229589
32323.23232323232,0.5397749703821638,0.5726327283765097,0.5268889180578736,0.5438277473466139
33333.33333333333,0.5483693062657852,0.5875918129068902,0.5400290387238544,0.5548255212056411
34343.43434343434,0.5566488734204355,0.6015925569349851,0.5528622217261436,0.5653534339478997
35353.53535353535,0.5646252002939296,0.6146464453117545,0.5653791659234171,0.5754263069695277
36363.63636363636,0.5723093931031021,0.6267717729281214,0.5775705701743507,0.5850590838635902
37373.73737373737,0.5797121512980745,0.6379927883682719,0.5894271333376204,0.5942667383798952
38383.83838383838,0.5868437824601426,0.6483388382492767,0.6009395542719025,0.6030641960111293
39393.93939393939,0.5937142166540244,0.6578435264005901,0.6120985318358728,0.6114662674811067
40404.0404040404,0.6003330202544582,0.6665439003371106,0.6228947648882074,0.6194875926336894
41414.14141414141,0.6067094092663967,0.6744796756761344,0.6333189522875823,0.6271425934120746
42424.242424242424,0.6128522621573491,0.6816925072970779,0.6433617928926735,0.6344454347827452
43434.343434343435,0.6187701322197356,0.6882253141942828,0.6530139855621568,0.6414099926005923
44444.444444444445,0.6244712594804704,0.694121663173008,0.6622662291547086,0.6480498275349614
45454.54545454545,0.6299635821743527,0.6994252148260648,0.6711092225290045,0.6543781642834864
46464.64646464646,0.6352547477972451,0.704179233635894,0.6795336645437208,0.6604078753938993
47474.74747474747,0.6403521237544267,0.7084261625996412,0.6875302540575334,0.6661514690955059
48484.84848484848,0.6452628076189492,0.7122072614914605,0.6950896899291183,0.6716210806133565
49494.94949494949,0.6499936370142786,0.7155623067686713,0.7022026710171515,0.6768284665006968
50505.0505050505,0.6545511991349854,0.7185293502020712,0.7088598961803092,0.6817850015802416
51515.15151515151,0.6589418399187362,0.7211445325656233,0.715052064277267,0.6865016781331729
52525.25252525252,0.6631716728823619,0.7234419481518811,0.7207698741667012,0.6909891070173816
53535.35353535353,0.6672465876343013,0.7254535554777864,0.7260040247072878,0.6952575204340748
54545.454545454544,0.6711722580752781,0.7272091292983766,0.7307452147577027,0.6993167760950869
55555.555555555555,0.6749541502986244,0.7287362489385324,0.7349841431766219,0.7031763625726153
56565.656565656565,0.6785975302012551,0.7300603179684486,0.7387115088227216,0.7068454056391015
57575.757575757576,0.6821074708158896,0.7312046103693401,0.7419180105546777,0.7103326754280126
58585.85858585858,0.6854888593747293,0.7321903385439786,0.7445943472311659,0.7136465942666995
59595.95959595959,0.6887464041144261,0.7330367388042165,0.7467312177108627,0.7167952450506164
60606.0606060606,0.6918846408318201,0.7337611702976776,0.748319320852444,0.7197863800442533
61616.16161616161,0.6949079391995707,0.7343792237023773,0.7493493555145854,0.7226274300084019
62626.26262626262,0.6978205088504776,0.7349048364067385,0.7498120205559635,0.725325513566031
63636.36363636363,0.7006264052389627,0.7353504112904619,0.7498387976936293,0.7278874467302953
64646.46464646464,0.7033295352878738,0.735726936617954,0.7498387976936293,0.7303197525281793
65656.56565656565,0.7059336628284748,0.7360441049412545,0.7498387976936293,0.7326286706621452
66666.66666666666,0.7084424138411934,0.7363104292761979,0.7498387976936293,0.7348201671600123
67676.76767676767,0.710859281504428,0.736533355158137,0.7498387976936293,0.7368999439702795
68686.86868686868,0.7131876310584393,0.736719367497829,0.7498387976936293,0.7388734484662843
