bins,exp_var
1428.5714285714287,
2857.1428571428573,0.03431294103058042
4285.714285714286,0.0709303147587212
5714.285714285715,0.08976976138799041
7142.857142857143,0.11592991074974696
8571.428571428572,0.1458596201768005
10000.0,0.1635502087041178
11428.57142857143,0.1921985921480411
12857.142857142859,0.2282745328589722
14285.714285714286,0.25995444605596063
15714.285714285716,0.280482418352372
17142.857142857145,0.3112589975210593
18571.428571428572,0.34051035783385086
20000.0,0.36143155819807704
21428.57142857143,0.38513738113611656
22857.14285714286,0.41392587457006713
24285.714285714286,0.4382087733797781
25714.285714285717,0.4518334960101142
27142.857142857145,0.47604489039812786
28571.428571428572,0.49535465967707526
30000.000000000004,0.5096623870190337
31428.57142857143,0.5315727586620026
32857.14285714286,0.5517439610443388
34285.71428571429,0.5685389655169656
35714.28571428572,0.5767257469922351
37142.857142857145,0.5959663664271531
38571.42857142857,0.6090598718830824
40000.0,0.6135277216790336
41428.571428571435,0.6276117958679489
42857.14285714286,0.6394492857995858
44285.71428571429,0.6465347312354386
45714.28571428572,0.6538408554166028
47142.857142857145,0.6620887302823429
48571.42857142857,0.6718525882228866
50000.0,0.6789531900361085
51428.571428571435,0.6847532232030122
52857.14285714286,0.6954897706306279
54285.71428571429,0.6982008224757636
55714.28571428572,0.7097951370280438
57142.857142857145,0.702814557529409
58571.42857142857,0.7098496218614274
60000.00000000001,0.7214584448194048
61428.571428571435,0.7141942587504613
62857.14285714286,0.7206629348675162
64285.71428571429,0.7237706873674435
65714.28571428572,0.7384940393650071
67142.85714285714,0.732824793231608
68571.42857142858,0.7394538542256903
70000.0,0.7479153286481939
71428.57142857143,0.7411725887969833
72857.14285714286,0.7482579306603028
74285.71428571429,0.7521799606967727
75714.28571428572,0.7609329058009013
77142.85714285714,0.7594834950890631
78571.42857142858,0.7646613839992722
80000.0,0.772255379403002
81428.57142857143,0.7669583160030324
82857.14285714287,0.765148849963141
84285.71428571429,0.7691653589916582
85714.28571428572,0.7730158491508596
87142.85714285714,0.7684118283998527
88571.42857142858,0.7744317278114805
90000.0,0.7724334812249417
91428.57142857143,0.7743580876579578
92857.14285714287,0.7722111243061889
94285.71428571429,0.7721092892600557
95714.28571428572,0.7668467341206306
97142.85714285714,0.764584723377671
98571.42857142858,0.7630988764553347
100000.0,0.7516343699360833
